restaurant_name,image_url,rating,cuisine,location,delivery_time
Haldirams Restaurant & Sweets,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/1abb89624b491497c8cff182d95ac457",4.3,"North Indian, South Indian, Biryani, Chinese, Chaat, Thalis, Bakery, Sweets, Beverages, Desserts, Snacks, Continental, Momos, Pastas, Burgers",Basavanagudi,20-25 mins
Ayodhya Upachar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/74914b1ea91d2c6b1ddce5db6ce8759f",4.5,"South Indian, North Indian, Chinese, Ice Cream, Chaat",Banashankari,30-35 mins
Baskin Robbins - Ice Cream Desserts,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/85ccae4e3576f9330af102c46ca85395",4.3,"Desserts, Ice Cream",Vijay Nagar,35-40 mins
Cheesecake & Co.,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/18/b1e64c1a-aca1-41c2-910c-e4226b429f43_924311.jpg",4.6,"Desserts, Bakery, Beverages",Banashankari,25-30 mins
Hotel Navayuga,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/zozbnn7oeipqdqy9rmjg",4.5,Andhra,Majestic,25-30 mins
Dwarkamai Pure Veg Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/xasb3saoezi04u4c76u0",4.3,"North Indian, Chinese, Italian-American",Basavanagudi,25-30 mins
Srinivasa Brahmins Bakery,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/h8scdayrwunwig3rtiyq",4.6,Street Food,Srinivasa Brahmins Bakery,20-25 mins
SLV Corner Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/vpp0p2bjtxr3qnis6zug",4.6,"Chinese, South Indian, Desserts",Basavanagudi,20-25 mins
Sharma's Kulche,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/6/b8cac488-cbee-43b4-966c-56dffbf9e484_902512.jpg",4.2,Chaat,Basavanagudi,20-25 mins
Karnataka Bhel House,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/vojof3tfxr0i3kwpsp3e",4.6,Chaat,Basavanagudi,10-15 mins
Hari Super Sandwich (3rd Block),"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ml1ituszk5qurjia3r9h",4.3,"Chaat, Snacks, Pizzas, North Indian, Indian",Jayanagar,25-30 mins
Chikpet Donne Biriyani House - Srinagar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/gtqehslryuqczwayud62",4.2,"Biryani, South Indian",Banashankari,25-30 mins
Marwadi chaat & Tiffin services shantinagar (Jodhpur wala),"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e8f48a82caf1cdc428448f64dba7b61e",4.1,"Rajasthani, Snacks, Chaat",Jayanagar,30-35 mins
Srinivasa Upahara,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/a7115f2be69c532179024b18d3b34dd7",4.5,"Snacks, South Indian",PES college Hanumanth nagar,25-30 mins
"WeFit - Protein Bowls, Salads & Sandwiches","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/23/db0d5750-c352-409e-9743-c4deb10c863d_643793.JPG",4.5,"Healthy Food, Salads, Keto, Snacks",Azad Nagar,20-30 mins
LeanCrust Pizza- ThinCrust Experts,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/23/83ddbb8a-a96d-4bf3-91c0-21938c00650a_681571.JPG",4.6,"Pizzas, Italian, Desserts",Mysore Road,20-30 mins
NH1 Bowls - Highway To North,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/24/2ea0f794-f01a-4e93-8acf-107acc58a183_425576.JPG",4.7,"North Indian, Punjabi, Home Food",Mysore Road,15-25 mins
Kwality Walls Frozen Dessert and Ice Cream Shop,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/13/dfea08dc-9227-4ce8-addb-72012b13f58d_688434.JPG",4.4,"Desserts, Ice Cream, Ice Cream Cakes",Shanthinagar,30-35 mins
Natural Ice Cream,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f20oitocgeivjijnanmi",4.8,"Ice Cream, Desserts",Jayanagar,30-35 mins
Wow! Momo,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/64fd45fd9f44c1737bc446e470bed666",4.3,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Shantinagar,30-35 mins
LunchBox  Meals and Thalis,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/4edcfc66d91018d69894941ebb3c8d16",4.4,"Biryani, North Indian, Punjabi, Healthy Food, Desserts, Beverages",Jayanagar,25-30 mins
NIC Ice Creams,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/18d8b8fb6bac8063a6fa886e20148110",4.7,"Ice Cream, Desserts",Banashankari,35-40 mins
A2B - Adyar Ananda Bhavan,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/tuctdolyoffovvjnxuu4",4.6,"South Indian, North Indian, Sweets, Chinese",Basavanagudi,25-30 mins
Polar Bear,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/57262fe3839f0bff174f3d7e7cc8a2b4",4.6,Desserts,Jayanagar,30-35 mins
EatFit,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/2/bf5211ad-bf62-43ed-a3f2-02985ca38b25_393107.JPG",4.4,"Chinese, Healthy Food, Tandoor, Pizzas, North Indian, Thalis, Biryani",Cunningham Road,30-35 mins
Taco Bell,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/d3b3db238b6448c3f297c851e9d0b96b",4.2,"Mexican, Fast Food, Snacks",Magadi Road,40-45 mins
Beijing Bites,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/25/dc1cf277-89dc-4a0b-acff-8235d797ad5f_8392.jpg",4.4,"Chinese, Thai",Banashankari,30-35 mins
Wendy's Burgers,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f1aa621021a2826088089b89842d4e7c",4.3,"Burgers, American, Fast Food, Snacks, Beverages",Residency Road,25-30 mins
Biryani Blues,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/97377e54937c079fe269d744aa66274a",4.5,"Biryani, Kebabs, Lucknowi, Hyderabadi",Church Street,35-40 mins
Sweet Truth  Cake and Desserts,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/2/8b270094-5914-4363-864a-33d4e0650baf_93501.JPG",4.5,"Desserts, Bakery, Ice Cream, Snacks",Jayanagar,25-30 mins
